stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2200YEA01038,,"Pocklington Kilnwick Road",,53.932769,-0.769633,,,,,,
2200YEA11693,,"Pocklington London Street",,53.933232,-0.773641,,,,,,
2200YEA01493,,"Pocklington The Balk",,53.926167,-0.775386,,,,,,
2200YEZ01312,,"Sherbuttgate North",,53.93415,-0.78877,,,,,,
2200YEZ01311,,"The Oval",,53.931661,-0.769392,,,,,,
2200YEA01043,,Burnby,,53.906949,-0.731133,,,,,,
2200YEZ01314,,"Hayton (Green)",,53.902061,-0.753565,,,,,,
2200YEA01052,,Huggate,,53.985544,-0.65673,,,,,,
2200YEA01040,,Nunburnholme,,53.922267,-0.707675,,,,,,
2200YEA01494,,"Pocklington The Balk",,53.926119,-0.775098,,,,,,
2200YEA11812,,"Pocklington The Balk",,53.913539,-0.771051,,,,,,
2200YEA11813,,"Pocklington The Balk",,53.91352,-0.77093,,,,,,
2200YEA11868,,"The Balk Pocklington",,53.922755,-0.772212,,,,,,
2200YEA11869,,"The Balk Pocklington",,53.92296,-0.772023,,,,,,
2200YEA11726,,Warter,,53.942308,-0.67273,,,,,,
2200YEA11725,,"Warter Pond",,53.942390554,-0.672758101,,,,,,
2200YEA01051,,Fridaythorpe,,54.020467,-0.665893,,,,,,
2200YEA12025,,Millington,,53.954749,-0.735337,,,,,,
2200YEA12024,,"Millington Heights Farm",,53.979144,-0.729459,,,,,,
2200YEA12027,,"Millington Heights Farm",,53.979015,-0.729982,,,,,,
2200YEA11798,,"Millington Martin Lane",,53.95548,-0.734812,,,,,,
2200YEA01655,,"Pocklington Chapmangate",,53.932176,-0.778439,,,,,,
2200YEA11772,,"Pocklington Junior School",,53.934226,-0.777694,,,,,,
3200YNE04435,,Thixendale,,54.038976,-0.714747,,,,,,
3200YNE04436,,Thixendale,,54.038842,-0.714858,,,,,,
450011326,,"Abbey House",,53.743652455,-1.597527,,,,,,
450025881,,"Batley Bus Station",,53.715894306,-1.63306641,,,,,,
450025877,,"Batley Bus Station",,53.715688604,-1.633401548,,,,,,
450024359,,"Batley Field Hill Chinewood Avenue",,53.718276839,-1.633288139,,,,,,
450011126,,"Bruntcliffe Academy",,53.746049943,-1.618823498,,,,,,
450010607,,"Bruntcliffe Cross Roads",,53.743752246,-1.622695508,,,,,,
450011461,,"Bruntcliffe Road",,53.737953092,-1.613651271,,,,,,
450029850,,"Bruntcliffe Road Bruntcliffe Crossroads",,53.743554942,-1.622833734,,,,,,
450011463,,"Bruntcliffe Road Lewisham Street",,53.739464663,-1.616942467,,,,,,
450011466,,"Bruntcliffe Road Parkland Avenue",,53.740927501,-1.619066918,,,,,,
450011462,,"Bruntcliffe Road Scotchman Lane",,53.737818421,-1.613697985,,,,,,
450011464,,"Bruntcliffe Road Scott Lane",,53.740955572,-1.619415374,,,,,,
450011467,,"Bruntcliffe Road St Andrews Avenue",,53.739084168,-1.616005965,,,,,,
450012455,,"Bruntcliffe Xroads",,53.744170066,-1.624086715,,,,,,
450015056,,"Butchers Arms Junction",,53.70649061,-1.653508302,,,,,,
450012141,,"Carlinghow Hill Holly Bank Avenue",,53.723176216,-1.636519007,,,,,,
450012142,,"Carlinghow Hill Holly Bank Avenue",,53.723093625,-1.635958988,,,,,,
450012139,,"Carlinghow Hill Transvaal Terrace",,53.720763859,-1.641313316,,,,,,
